State,Year,Population.12-17,Population.18-25,Population.26+,Totals.Alcohol.Use Disorder Past Year.12-17,Totals.Alcohol.Use Disorder Past Year.18-25,Totals.Alcohol.Use Disorder Past Year.26+,Rates.Alcohol.Use Disorder Past Year.12-17,Rates.Alcohol.Use Disorder Past Year.18-25,Rates.Alcohol.Use Disorder Past Year.26+,Totals.Alcohol.Use Past Month.12-17,Totals.Alcohol.Use Past Month.18-25,Totals.Alcohol.Use Past Month.26+,Rates.Alcohol.Use Past Month.12-17,Rates.Alcohol.Use Past Month.18-25,Rates.Alcohol.Use Past Month.26+,Totals.Tobacco.Cigarette Past Month.12-17,Totals.Tobacco.Cigarette Past Month.18-25,Totals.Tobacco.Cigarette Past Month.26+,Rates.Tobacco.Cigarette Past Month.12-17,Rates.Tobacco.Cigarette Past Month.18-25,Rates.Tobacco.Cigarette Past Month.26+,Totals.Illicit Drugs.Cocaine Used Past Year.12-17,Totals.Illicit Drugs.Cocaine Used Past Year.18-25,Totals.Illicit Drugs.Cocaine Used Past Year.26+,Rates.Illicit Drugs.Cocaine Used Past Year.12-17,Rates.Illicit Drugs.Cocaine Used Past Year.18-25,Rates.Illicit Drugs.Cocaine Used Past Year.26+,Totals.Marijuana.New Users.12-17,Totals.Marijuana.New Users.18-25,Totals.Marijuana.New Users.26+,Rates.Marijuana.New Users.12-17,Rates.Marijuana.New Users.18-25,Rates.Marijuana.New Users.26+,Totals.Marijuana.Used Past Month.12-17,Totals.Marijuana.Used Past Month.18-25,Totals.Marijuana.Used Past Month.26+,Rates.Marijuana.Used Past Month.12-17,Rates.Marijuana.Used Past Month.18-25,Rates.Marijuana.Used Past Month.26+,Totals.Marijuana.Used Past Year.12-17,Totals.Marijuana.Used Past Year.18-25,Totals.Marijuana.Used Past Year.26+,Rates.Marijuana.Used Past Year.12-17,Rates.Marijuana.Used Past Year.18-25,Rates.Marijuana.Used Past Year.26+,Totals.Tobacco.Use Past Month.12-17,Totals.Tobacco.Use Past Month.18-25,Totals.Tobacco.Use Past Month.26+,Rates.Tobacco.Use Past Month.12-17,Rates.Tobacco.Use Past Month.18-25,Rates.Tobacco.Use Past Month.26+
New Mexico,2005,173970,226724,1183171,11,39,79,64.16,173.356,66.941,30,132,566,170.256,580.682,478.725,20,94,272,115.157,415.262,229.647,3,16,17,18.988,72.145,14.729,9,6,1,72.705,70.332,1.48,13,38,46,76.983,169.075,39.085,27,63,75,157.494,278.229,63.061,26,107,322,146.736,469.961,272.075
New Mexico,2006,172181,226537,1198968,11,41,76,65.394,180.143,63.228,29,134,548,167.997,592.614,457.197,20,94,264,117.839,414.278,219.795,4,17,23,21.428,77.061,19.489,9,6,1,75.666,80.741,0.991,15,43,54,87.281,190.645,45.258,28,71,82,161.747,314.348,68.106,26,107,324,150.167,470.708,270.208
New Mexico,2007,167079,226011,1217991,10,43,75,58.826,189.559,61.244,26,132,581,152.864,582.5,477.012,18,86,261,105.103,382.563,214.561,3,14,15,16.52,63.931,12.691,9,7,1,71.208,85.71,1.127,14,37,48,82.71,164.127,39.592,26,64,76,157.841,282.835,62.226,22,99,311,131.062,438.541,255.555
New Mexico,2008,163513,227941,1230799,11,43,87,66.38,187.111,70.472,26,130,616,156.238,571.096,500.492,16,82,270,100.552,361.232,219.504,2,15,18,12.966,65.519,14.741,10,7,1,78.446,80.087,1.233,15,36,55,92.468,157.38,44.924,28,67,84,168.275,292.29,68.155,21,97,315,128.212,426.195,256.211
New Mexico,2009,161555,228756,1244885,9,37,79,54.549,162.337,63.713,23,129,596,144.924,562.468,478.671,16,83,270,101.719,361.387,216.895,2,15,22,12.926,67.454,17.711,10,8,2,82.723,81.207,2.36,15,44,67,93.4,192.48,54.11,29,73,102,181.238,319.731,82.064,21,98,324,130.645,429.88,260.343
New Mexico,2010,170679,225076,1293249,7,37,75,42.561,166.36,57.834,21,123,577,123.959,548.323,446.238,15,81,266,90.121,360.718,205.461,2,14,20,13.751,61.253,15.404,11,8,1,87.359,83.477,2.166,16,47,75,95.27,210.506,57.743,32,72,122,184.922,319.387,94.087,20,98,308,116.238,434.124,237.878
New Mexico,2011,169342,226502,1303353,8,35,82,45.102,152.873,62.532,21,126,649,126.877,556.993,498.204,14,79,283,85.447,350.677,217.498,2,13,20,12.706,57.205,15.4,11,8,1,89.347,78.908,2.433,17,48,90,98.174,213.495,69.354,33,75,138,192.191,329.849,105.944,19,97,327,113.115,429.796,250.664
New Mexico,2012,168112,228037,1308966,7,32,87,39.155,139.777,66.641,20,129,709,119.072,564.251,542.014,12,80,296,73.596,351.769,226.331,2,12,23,9.548,53.168,17.289,10,7,2,80.141,69.736,3.07,15,44,95,92.19,193.347,72.261,31,73,153,183.818,320.615,117.154,17,96,354,101.136,422.466,270.752
New Mexico,2013,166639,228647,1314755,4,30,84,26.393,130.594,63.781,16,128,686,97.071,558.452,521.82,9,78,289,56.927,341.121,219.808,1,14,22,8.385,59.713,16.66,9,7,2,69.41,65.704,2.816,13,44,106,79.843,193.231,80.595,27,72,168,159.248,316.384,127.834,13,91,346,78.642,397.724,263.051
New Mexico,2014,165438,227077,1322519,4,27,85,25.933,120.457,64.61,16,127,665,93.954,557.909,502.515,7,68,274,41.101,300.946,206.805,1,13,18,8.197,59.342,13.751,9,7,2,67.111,68.981,3.564,14,47,113,85.316,206.075,85.479,25,71,157,151.467,310.758,118.682,10,81,324,62.592,354.704,244.64
New Mexico,2015,165412,223662,1329649,5,26,90,27.613,115.605,67.376,16,122,695,99.103,543.507,522.953,5,64,279,29.47,288.043,210.066,2,12,19,9.561,54.249,13.953,9,8,4,69.925,87.867,6.007,16,51,114,94.554,228.503,85.516,25,73,173,153.398,327.924,130.414,8,77,345,48.145,345.022,259.329
New Mexico,2016,165925,220697,1338531,4,24,76,22.213,108.7,56.807,17,118,710,103.241,533.727,530.437,5,56,286,27.423,253.338,213.426,1,12,21,7.403,55.818,15.863,9,9,5,75.447,95.398,7.17,16,54,136,97.419,243.874,101.856,26,74,202,156.237,336.302,150.853,8,69,355,47.597,314.248,265.553
New Mexico,2017,165877,219023,1351993,3,21,66,18.29,96.802,48.953,16,110,678,97.945,502.256,501.354,5,53,287,30.246,244.009,212.032,1,13,22,6.656,58.583,16.567,10,10,5,78.753,96.648,8.694,16,52,157,95.75,239.644,116.167,27,73,225,161.792,333.711,166.579,9,67,348,54.674,304.845,257.641
New Mexico,2018,165707,216551,1364936,3,23,68,16.844,105.052,49.762,14,104,669,82.644,482.511,489.942,5,52,281,28.874,238.681,205.626,1,11,21,6.512,49.764,15.286,11,9,5,87.506,93.95,8.753,16,51,150,98.329,234.845,109.874,31,77,250,186.631,353.806,183.411,8,68,340,50.76,313.622,249.054
New York,2002,1562426,2036478,12316861,87,323,727,55.929,158.409,59.004,305,1310,7093,194.95,643.389,575.879,185,818,3050,118.097,401.675,247.615,22,141,248,14.14,69.253,20.154,93,81,8,68.483,80.16,1.177,137,437,593,87.551,214.4,48.169,250,684,1010,159.821,335.951,82.012,200,889,3498,127.821,436.408,283.994
New York,2003,1571709,2047533,12344264,86,323,661,54.891,157.617,53.577,299,1313,6910,190.07,641.408,559.801,174,817,2976,110.404,399.055,241.084,22,156,225,13.863,76.01,18.262,86,77,9,62.796,76.523,1.218,133,439,613,84.62,214.597,49.672,235,678,970,149.474,330.986,78.614,196,881,3379,124.926,430.314,273.728
New York,2004,1584677,2050011,12371557,85,348,671,53.77,169.526,54.2,297,1298,7037,187.494,632.971,568.822,170,810,2946,107.096,395.321,238.09,24,151,223,15.406,73.502,18.057,79,66,13,57.342,65.307,1.782,133,428,601,83.994,209.001,48.544,232,663,1022,146.465,323.397,82.578,202,882,3342,127.407,430.356,270.107
New York,2005,1587906,2106543,12383739,84,352,689,52.898,166.938,55.641,306,1353,7142,192.407,642.43,576.736,154,794,2947,96.725,376.943,237.953,24,155,273,14.812,73.407,22.082,79,64,12,56.922,63.176,1.659,123,426,595,77.35,202.385,48.078,232,673,1048,145.806,319.449,84.601,189,878,3333,119.163,416.882,269.183
New York,2006,1579916,2179143,12397704,74,342,663,46.523,157.062,53.474,300,1417,7177,190.026,650.329,578.877,130,734,2767,82.103,336.843,223.153,21,154,274,13.165,70.581,22.069,80,74,8,57.596,67.558,1.08,117,437,570,74.333,200.599,45.963,220,690,986,139.329,316.844,79.539,163,829,3120,103.486,380.524,251.657
New York,2007,1559314,2218415,12500501,74,377,702,47.594,170.141,56.168,271,1453,7276,174.098,655.152,582.02,129,740,2595,82.977,333.566,207.612,20,143,261,12.508,64.631,20.877,78,76,9,57.224,67.316,1.26,122,473,535,78.263,213.108,42.833,222,717,940,142.539,323.362,75.191,163,852,2959,104.421,384.183,236.729
